Date,AAPL,MSFT,SPY
2022-01-03 00:00:00+00:00,182.00999450683594,334.75,477.7099914550781
2022-01-04 00:00:00+00:00,179.6999969482422,400.25,450.25
2022-01-05 00:00:00+00:00,174.9199981689453,425.25,435.25
2022-01-06 00:00:00+00:00,172.0,450,467.94000244140625
2022-01-07 00:00:00+00:00,172.1699981689453,466,466.0899963378906
2022-01-10 00:00:00+00:00,172.19000244140625,470,465.510009765625
2022-01-11 00:00:00+00:00,175.0800018310547,477,469.75
2022-01-12 00:00:00+00:00,175.52999877929688,485,471.0199890136719
2022-01-13 00:00:00+00:00,172.19000244140625,495,464.5299987792969
2022-01-14 00:00:00+00:00,173.07000732421875,495.20,464.7200012207031
2022-01-18 00:00:00+00:00,169.8000030517578,302.6499938964844,456.489990234375
2022-01-19 00:00:00+00:00,166.22999572753906,303.3299865722656,451.75
2022-01-20 00:00:00+00:00,164.50999450683594,301.6000061035156,446.75
2022-01-21 00:00:00+00:00,162.41000366210938,296.0299987792969,437.9800109863281
2022-01-24 00:00:00+00:00,161.6199951171875,296.3699951171875,439.8399963378906
2022-01-25 00:00:00+00:00,159.77999877929688,288.489990234375,434.4700012207031
2022-01-26 00:00:00+00:00,159.69000244140625,296.7099914550781,433.3800048828125
2022-01-27 00:00:00+00:00,159.22000122070312,299.8399963378906,431.239990234375
2022-01-28 00:00:00+00:00,170.3300018310547,308.260009765625,441.95001220703125
2022-01-31 00:00:00+00:00,174.77999877929688,310.9800109863281,449.9100036621094
2022-02-01 00:00:00+00:00,174.61000061035156,308.760009765625,452.95001220703125
2022-02-02 00:00:00+00:00,175.83999633789062,313.4599914550781,457.3500061035156
2022-02-03 00:00:00+00:00,172.89999389648438,301.25,446.6000061035156
2022-02-04 00:00:00+00:00,172.38999938964844,305.94000244140625,448.70001220703125
2022-02-07 00:00:00+00:00,171.66000366210938,300.95001220703125,447.260009765625
2022-02-08 00:00:00+00:00,174.8300018310547,304.55999755859375,450.94000244140625
2022-02-09 00:00:00+00:00,176.27999877929688,311.2099914550781,457.5400085449219
2022-02-10 00:00:00+00:00,172.1199951171875,302.3800048828125,449.32000732421875
2022-02-11 00:00:00+00:00,168.63999938964844,295.0400085449219,440.4599914550781
2022-02-14 00:00:00+00:00,168.8800048828125,295.0,439.0199890136719
2022-02-15 00:00:00+00:00,172.7899932861328,300.4700012207031,446.1000061035156
2022-02-16 00:00:00+00:00,172.5500030517578,299.5,446.6000061035156
2022-02-17 00:00:00+00:00,168.8800048828125,290.7300109863281,437.05999755859375
2022-02-18 00:00:00+00:00,167.3000030517578,287.92999267578125,434.2300109863281
2022-02-22 00:00:00+00:00,164.32000732421875,287.7200012207031,429.57000732421875
2022-02-23 00:00:00+00:00,160.07000732421875,280.2699890136719,421.95001220703125
2022-02-24 00:00:00+00:00,162.74000549316406,294.5899963378906,428.29998779296875
2022-02-25 00:00:00+00:00,164.85000610351562,297.30999755859375,437.75
2022-02-28 00:00:00+00:00,165.1199951171875,298.7900085449219,436.6300048828125
2022-03-01 00:00:00+00:00,163.1999969482422,294.95001220703125,429.9800109863281
2022-03-02 00:00:00+00:00,166.55999755859375,300.19000244140625,437.8900146484375
2022-03-03 00:00:00+00:00,166.22999572753906,295.9200134277344,435.7099914550781
2022-03-04 00:00:00+00:00,163.1699981689453,289.8599853515625,432.1700134277344
2022-03-07 00:00:00+00:00,159.3000030517578,278.9100036621094,419.42999267578125
2022-03-08 00:00:00+00:00,157.44000244140625,275.8500061035156,416.25
2022-03-09 00:00:00+00:00,162.9499969482422,288.5,427.4100036621094
2022-03-10 00:00:00+00:00,158.52000427246094,285.5899963378906,425.4800109863281
2022-03-11 00:00:00+00:00,154.72999572753906,280.07000732421875,420.07000732421875
2022-03-14 00:00:00+00:00,150.6199951171875,276.44000244140625,417.0
2022-03-15 00:00:00+00:00,155.08999633789062,287.1499938964844,426.1700134277344
2022-03-16 00:00:00+00:00,159.58999633789062,294.3900146484375,435.6199951171875
2022-03-17 00:00:00+00:00,160.6199951171875,295.2200012207031,441.07000732421875
2022-03-18 00:00:00+00:00,163.97999572753906,300.42999267578125,444.5199890136719
2022-03-21 00:00:00+00:00,165.3800048828125,299.1600036621094,444.3900146484375
2022-03-22 00:00:00+00:00,168.82000732421875,304.05999755859375,449.5899963378906
2022-03-23 00:00:00+00:00,170.2100067138672,299.489990234375,443.79998779296875
2022-03-24 00:00:00+00:00,174.07000732421875,304.1000061035156,450.489990234375
2022-03-25 00:00:00+00:00,174.72000122070312,303.67999267578125,452.69000244140625
2022-03-28 00:00:00+00:00,175.60000610351562,310.70001220703125,455.9100036621094
2022-03-29 00:00:00+00:00,178.9600067138672,315.4100036621094,461.54998779296875
2022-03-30 00:00:00+00:00,177.77000427246094,313.8599853515625,458.70001220703125
2022-03-31 00:00:00+00:00,174.61000061035156,308.30999755859375,451.6400146484375
2022-04-01 00:00:00+00:00,174.30999755859375,309.4200134277344,452.9200134277344
2022-04-04 00:00:00+00:00,178.44000244140625,314.9700012207031,456.79998779296875
2022-04-05 00:00:00+00:00,175.05999755859375,310.8800048828125,451.0299987792969
2022-04-06 00:00:00+00:00,171.8300018310547,299.5,446.5199890136719
2022-04-07 00:00:00+00:00,172.13999938964844,301.3699951171875,448.7699890136719
2022-04-08 00:00:00+00:00,170.08999633789062,296.9700012207031,447.57000732421875
2022-04-11 00:00:00+00:00,165.75,285.260009765625,439.9200134277344
2022-04-12 00:00:00+00:00,167.66000366210938,282.05999755859375,438.2900085449219
