Date,Portfolio Value
2022-01-04 00:00:00+00:00,99950.0
2022-01-05 00:00:00+00:00,99900.02500000001
2022-01-06 00:00:00+00:00,99850.07498750002
2022-01-07 00:00:00+00:00,99800.14995000628
2022-01-10 00:00:00+00:00,99650.44972508127
2022-01-11 00:00:00+00:00,99600.62450021874
2022-01-12 00:00:00+00:00,99550.82418796862
2022-01-13 00:00:00+00:00,101553.64308902863
2022-01-14 00:00:00+00:00,101502.86626748412
2022-01-18 00:00:00+00:00,140818.256393221
2022-01-19 00:00:00+00:00,143269.25692996866
2022-01-20 00:00:00+00:00,144583.9569686334
2022-01-21 00:00:00+00:00,146496.1001180871
2022-01-24 00:00:00+00:00,147034.19148396017
2022-01-25 00:00:00+00:00,148719.27851447146
2022-01-26 00:00:00+00:00,148644.91887521424
2022-01-27 00:00:00+00:00,148570.59641577664
2022-01-28 00:00:00+00:00,148496.31111756875
2022-01-31 00:00:00+00:00,148422.06296200998
2022-02-01 00:00:00+00:00,148199.429867567
2022-02-02 00:00:00+00:00,148125.33015263322
2022-02-03 00:00:00+00:00,153821.09159508892
2022-02-04 00:00:00+00:00,153744.1810492914
2022-02-07 00:00:00+00:00,155353.18470357728
2022-02-08 00:00:00+00:00,155120.15492652194
2022-02-09 00:00:00+00:00,155042.5948490587
2022-02-10 00:00:00+00:00,154965.07355163418
2022-02-11 00:00:00+00:00,158253.6775427218
2022-02-14 00:00:00+00:00,158041.53303463967
2022-02-15 00:00:00+00:00,157804.4707350877
2022-02-16 00:00:00+00:00,157725.56849972016
2022-02-17 00:00:00+00:00,157646.7057154703
2022-02-18 00:00:00+00:00,159062.04477678455
2022-02-22 00:00:00+00:00,160467.786536256
2022-02-23 00:00:00+00:00,164379.80855186243
2022-02-24 00:00:00+00:00,161555.73217440056
2022-02-25 00:00:00+00:00,161474.95430831338
2022-02-28 00:00:00+00:00,161394.21683115922
2022-03-01 00:00:00+00:00,161313.51972274366
2022-03-02 00:00:00+00:00,161071.54944315954
2022-03-03 00:00:00+00:00,160991.01366843798
2022-03-04 00:00:00+00:00,160910.51816160377
2022-03-07 00:00:00+00:00,165567.59233492348
